loan_id,age,income,loan_amount,loan_purpose,employment_status,marital_status,has_default
138,52,142984,15241,medical,employed,divorced,1
139,18,33777,45858,business,employed,divorced,0
140,52,58346,46073,education,unemployed,married,0
141,54,74703,24902,personal,employed,married,0
142,64,114977,25506,personal,self-employed,married,0
143,31,67819,18562,business,employed,married,0
144,20,48469,21239,medical,unemployed,divorced,0
145,18,23845,14065,education,employed,single,0
146,22,130186,46415,medical,employed,single,0
147,43,43290,42291,personal,unemployed,single,0
148,31,132551,39805,business,employed,single,0
149,56,50699,34295,education,unemployed,single,0
150,44,64252,19443,education,employed,single,0
151,26,118682,10290,education,unemployed,married,0
152,32,23293,1211,education,employed,married,0
153,32,138017,19098,business,self-employed,single,1
154,43,139496,20072,personal,self-employed,divorced,0
155,59,129934,44290,education,unemployed,divorced,1
156,30,77089,20650,education,unemployed,single,0
157,68,131964,16115,personal,unemployed,divorced,0
158,49,36608,6149,medical,self-employed,married,0
159,56,148713,42992,education,unemployed,married,0
160,66,86273,18716,education,employed,divorced,0
161,69,36619,33188,medical,unemployed,single,0
162,49,98006,14621,personal,unemployed,married,0
163,21,135399,7820,personal,employed,divorced,0
164,47,107908,48529,education,employed,divorced,0
165,54,101653,43800,personal,self-employed,married,0
166,40,34779,31399,medical,employed,married,0
167,56,71040,15002,business,employed,single,0
168,62,114830,44098,medical,unemployed,divorced,0
169,32,76325,46511,medical,self-employed,single,0
170,60,135947,29750,business,employed,married,0
171,46,41630,27074,medical,self-employed,divorced,0
172,53,125575,18310,education,employed,married,0
173,30,135436,18006,education,self-employed,married,0
174,49,32178,10671,personal,employed,married,0
175,24,39935,45345,personal,unemployed,single,0
176,68,67258,28894,medical,self-employed,married,0
177,39,42784,27193,education,self-employed,single,0
178,45,83722,11222,education,employed,married,1
179,19,43027,24786,business,self-employed,married,1
180,59,116544,32509,personal,employed,divorced,0
181,62,77853,1386,education,self-employed,married,0
182,23,132167,2634,medical,self-employed,divorced,0
183,45,87359,41878,education,unemployed,divorced,0
184,45,92388,5133,personal,unemployed,single,0
185,61,98608,43144,medical,self-employed,divorced,0
186,61,96669,39349,personal,unemployed,divorced,0
187,37,35111,35735,education,self-employed,married,0
188,47,52312,22952,education,employed,married,1
189,28,149321,25816,education,self-employed,single,0
190,45,44161,22529,personal,self-employed,divorced,0
191,42,138920,6767,medical,unemployed,divorced,0
192,56,124823,42521,education,unemployed,single,0
193,50,145014,19383,education,employed,married,0
194,18,87313,5901,education,employed,divorced,0
195,44,70374,43889,business,employed,single,1
196,69,44014,15633,business,self-employed,married,0
197,30,100308,20163,medical,employed,single,0
198,58,66389,11707,personal,employed,single,1
199,20,130163,23576,education,unemployed,divorced,0
200,56,38161,19061,education,unemployed,married,0
201,23,127800,46101,personal,employed,divorced,0
202,25,27490,45706,personal,employed,divorced,0
203,44,139547,12548,medical,self-employed,married,0
204,26,127197,16115,personal,self-employed,married,0
205,54,44502,10843,education,unemployed,married,0
206,50,55757,37945,medical,employed,divorced,0
207,68,61111,40979,business,employed,married,0
208,59,118273,41641,medical,employed,married,0
209,61,103245,4841,medical,employed,married,1
210,41,78645,7416,medical,employed,single,0
211,32,130218,11633,personal,self-employed,married,0
212,49,79055,38653,education,self-employed,divorced,0
213,49,139815,1594,personal,employed,single,1
214,41,28998,15393,education,self-employed,divorced,0
215,58,48906,36380,personal,self-employed,single,0
216,69,121026,46056,medical,employed,married,0
217,66,90192,23743,education,self-employed,single,0
218,66,70477,32971,personal,employed,divorced,0
219,69,56901,5861,medical,self-employed,single,0
220,29,111271,38534,business,employed,married,1
221,56,72021,37126,personal,employed,married,1
222,19,49092,15846,personal,self-employed,divorced,0
223,20,21242,27177,business,self-employed,single,1
224,66,126843,34682,personal,unemployed,divorced,0
225,54,21831,19228,business,employed,divorced,0
226,66,70721,35763,education,employed,divorced,1
227,34,48511,25009,business,employed,married,0
228,66,92782,1094,medical,employed,single,0
229,19,117003,42452,business,self-employed,married,1
230,19,38302,16100,education,self-employed,married,0
231,45,75568,33917,business,unemployed,married,0
232,40,23232,18430,business,employed,single,0
233,54,122062,36571,education,unemployed,married,0
234,49,124301,25974,personal,unemployed,married,1
235,50,71507,32129,personal,unemployed,married,0
236,18,144277,48234,medical,unemployed,single,1
237,36,149999,21860,medical,unemployed,single,1
238,19,96508,8276,business,self-employed,divorced,0
239,61,133672,1551,personal,self-employed,married,0
240,43,120128,49248,personal,unemployed,married,0
241,49,30683,9486,business,self-employed,single,0
242,23,43664,18527,education,self-employed,single,0
243,49,122364,10745,personal,unemployed,married,1
244,21,140012,42128,medical,self-employed,divorced,0
245,28,53172,13997,business,self-employed,divorced,1
246,34,103641,19330,education,employed,married,0
247,55,84340,41078,medical,unemployed,divorced,0
248,41,107236,39585,personal,employed,divorced,0
249,22,31017,25829,education,employed,married,0
250,69,56613,44336,medical,unemployed,divorced,1
251,51,106130,9070,business,employed,single,0
252,23,96920,2320,education,employed,married,0
253,39,50348,24507,education,self-employed,single,0
254,28,36448,39921,business,employed,married,0
255,65,29491,7589,personal,unemployed,single,0
256,33,98648,28459,personal,self-employed,divorced,0
257,50,141070,16589,education,self-employed,single,0
258,26,116557,37375,education,self-employed,single,0
259,23,78759,44085,education,unemployed,single,0
260,33,64553,44200,medical,unemployed,single,1
261,46,20968,34168,education,unemployed,single,0
262,20,20368,27732,personal,employed,married,0
263,37,93960,32511,business,employed,single,0
264,53,55010,23426,business,self-employed,single,0
265,36,74154,31982,business,self-employed,married,0
266,43,55851,17746,education,unemployed,married,0
267,20,142761,29514,education,unemployed,divorced,1
268,36,45496,4851,business,employed,single,0
269,37,143568,20796,medical,employed,single,1
270,49,147152,11498,medical,unemployed,divorced,0
271,24,50936,33852,medical,unemployed,single,0
272,69,98858,35592,medical,employed,divorced,1
273,58,87005,45845,personal,self-employed,married,0
274,50,57493,16930,business,self-employed,single,0
275,57,89795,46317,personal,employed,single,0
276,56,56390,43881,education,employed,married,1
277,35,30292,48900,medical,self-employed,single,0
278,57,112377,42590,medical,employed,married,0
279,18,48365,22159,business,self-employed,married,0
280,28,37207,30536,medical,self-employed,divorced,0
281,45,121735,25252,business,employed,married,0
282,42,42912,25003,education,unemployed,divorced,0
283,67,122455,41186,medical,unemployed,married,0
284,40,122517,36139,medical,unemployed,divorced,0
285,48,100771,40836,personal,unemployed,divorced,0
286,47,76572,23205,business,unemployed,divorced,0
287,59,127293,31523,business,unemployed,divorced,1
288,52,119083,45627,medical,unemployed,single,0
289,24,133655,8464,personal,employed,married,0
290,33,129346,18110,medical,employed,married,0
291,43,39276,47316,business,unemployed,married,1
292,65,117459,8121,business,employed,married,0
293,69,25534,10840,medical,self-employed,divorced,0
294,66,112005,38080,education,unemployed,single,0
295,19,121610,41768,medical,self-employed,married,0
296,18,55670,10461,personal,employed,married,0
297,65,82147,21927,business,unemployed,married,0
298,29,118099,25398,business,self-employed,divorced,0
299,22,131695,34086,medical,employed,married,0
300,54,56486,16329,education,unemployed,married,1
301,49,85557,16791,business,unemployed,single,0
302,26,54268,15372,medical,self-employed,divorced,0
303,58,127338,49703,education,self-employed,single,0
304,52,101335,28354,medical,self-employed,married,0
305,36,46336,49469,medical,employed,divorced,1
306,65,23641,45018,medical,self-employed,married,0
307,33,107132,22537,business,self-employed,married,0
308,20,52959,35370,education,self-employed,divorced,0
309,37,33306,26405,personal,unemployed,single,1
310,41,66182,42815,personal,self-employed,divorced,1
311,50,94123,24703,business,self-employed,divorced,0
312,41,76326,16234,business,employed,single,0
313,69,116895,8532,medical,employed,divorced,0
314,28,41498,41134,medical,self-employed,single,0
315,66,90198,36416,education,employed,single,0
316,25,122630,7903,medical,employed,divorced,0
317,53,127369,19242,education,employed,divorced,1
318,55,47197,14788,medical,unemployed,single,0
319,57,40719,36249,medical,self-employed,single,0
320,37,110201,35588,personal,self-employed,single,1
321,52,128775,30513,business,self-employed,single,1
322,65,45032,44039,education,employed,single,0
323,42,79624,20542,personal,employed,divorced,1
324,52,98177,33294,medical,employed,married,0
325,42,61964,4684,personal,unemployed,divorced,0
326,46,50028,24795,education,employed,married,0
327,35,131030,4651,business,unemployed,single,0
328,63,74646,11431,personal,self-employed,divorced,0
329,35,101187,11131,education,employed,married,1
330,19,28536,25091,medical,unemployed,single,0
331,52,137399,25845,personal,unemployed,divorced,0
332,33,76747,25491,business,employed,married,0
333,58,65712,5830,education,unemployed,divorced,0
334,53,26273,29640,business,employed,married,0
335,50,91820,8334,medical,unemployed,divorced,0
336,21,145342,48387,business,self-employed,divorced,0
337,50,111228,10304,medical,self-employed,married,0
338,31,94353,48647,medical,self-employed,divorced,0
339,38,114491,18032,personal,employed,divorced,1
340,65,112091,26755,medical,self-employed,single,0
341,37,105914,48353,business,self-employed,married,0
342,25,70830,1016,personal,self-employed,divorced,1
343,24,126718,9308,medical,employed,married,1
344,20,37127,30654,education,unemployed,divorced,0
345,34,135150,40244,education,employed,married,0
346,50,103488,6942,medical,employed,married,0
347,65,31539,3693,personal,self-employed,single,0
348,29,66761,16562,personal,unemployed,single,0
349,68,66219,7259,personal,self-employed,married,0
350,39,34692,49347,business,self-employed,divorced,0
351,39,103656,43236,education,employed,married,0
352,63,33334,5942,medical,employed,divorced,1
353,47,48615,48419,medical,employed,married,0
354,55,27903,37556,education,self-employed,single,0
355,55,48527,1371,business,unemployed,single,0
356,62,35629,28383,personal,unemployed,divorced,1
357,68,141690,24404,education,self-employed,married,1
358,25,78008,8120,medical,unemployed,divorced,0
359,44,103276,6702,business,self-employed,single,0
360,44,119318,9347,medical,unemployed,married,0
361,51,46708,36429,personal,self-employed,single,0
362,38,30860,40419,education,unemployed,single,0
363,47,37438,26040,personal,employed,married,0
364,50,87300,38646,business,employed,divorced,0
365,45,149263,46859,education,employed,married,0
366,64,91545,38083,personal,employed,single,0
367,50,40842,23542,personal,self-employed,single,0
368,22,80213,43733,personal,unemployed,single,0
369,65,62372,9308,business,self-employed,single,1
370,36,134316,40242,personal,employed,divorced,0
371,21,118971,35142,medical,unemployed,married,0
372,52,88906,45163,education,self-employed,married,0
373,66,58744,31690,education,employed,divorced,0
374,34,136082,8393,personal,unemployed,divorced,0
375,61,77442,5403,business,unemployed,single,0
376,45,149070,4546,medical,employed,married,0
377,47,105990,37745,medical,employed,married,0
378,46,141670,29893,education,unemployed,married,1
379,63,126917,10388,education,employed,divorced,1
380,23,123903,42756,medical,self-employed,single,1
381,52,23650,37660,education,employed,single,1
382,58,65117,24708,personal,employed,married,0
383,54,111244,25726,medical,employed,single,0
384,41,128198,15008,education,unemployed,divorced,1
385,46,72772,37017,personal,unemployed,divorced,0
386,66,23190,1111,personal,employed,married,0
387,63,68113,18545,medical,unemployed,single,0
388,48,28789,41168,personal,employed,divorced,0
389,52,52125,3379,medical,self-employed,divorced,0
390,50,118695,31237,personal,unemployed,divorced,0
391,69,37459,46948,medical,employed,divorced,0
392,38,55418,22810,medical,unemployed,single,0
393,49,131904,42120,medical,self-employed,divorced,1
394,40,67085,18809,medical,self-employed,divorced,0
395,50,38768,9469,personal,employed,single,0
396,20,69961,28967,medical,unemployed,married,0
397,35,101099,10748,education,self-employed,married,0
398,42,142735,24424,personal,unemployed,divorced,0
399,59,47885,21976,medical,employed,married,1
400,48,107421,24914,personal,self-employed,single,0
401,20,81082,31067,personal,self-employed,divorced,0
402,57,26895,43875,personal,unemployed,single,0
403,63,70311,13942,personal,self-employed,married,0
404,41,109494,20491,medical,employed,married,0
405,67,87067,5533,personal,employed,divorced,0
406,49,91017,24583,education,self-employed,married,0
407,64,43932,38049,personal,employed,divorced,0
408,39,41360,28821,personal,self-employed,divorced,0
409,40,74847,31261,education,self-employed,single,0
410,19,129178,38536,medical,self-employed,married,0
411,44,110365,30945,education,self-employed,married,0
412,59,105468,18384,business,unemployed,divorced,1
413,19,146065,29410,education,self-employed,divorced,0
414,43,58931,13198,medical,employed,divorced,0
415,34,75823,30354,education,unemployed,divorced,0
416,57,58032,8169,personal,employed,single,0
417,50,135919,41129,medical,self-employed,married,0
418,26,101426,32909,business,employed,single,0
419,60,38807,4830,medical,unemployed,married,0
420,65,31767,22404,personal,employed,single,0
421,56,28071,28757,business,unemployed,divorced,0
422,46,73413,36650,medical,self-employed,single,0
423,59,46149,34766,medical,self-employed,single,0
424,43,35540,16942,personal,employed,divorced,0
425,52,121212,33419,education,employed,divorced,0
426,67,90248,17668,education,self-employed,married,0
427,42,141443,17246,business,self-employed,married,0
428,41,111737,25996,personal,employed,single,1
429,30,130494,4065,personal,self-employed,single,0
430,24,138571,11467,education,unemployed,single,1
431,53,105435,45844,education,unemployed,divorced,0
432,62,39787,22007,business,employed,married,1
433,37,40982,3543,education,employed,single,0
434,18,139696,29702,business,self-employed,married,0
435,25,42606,29833,medical,self-employed,married,0
436,63,147560,11033,business,unemployed,divorced,1
437,33,30150,35169,business,employed,divorced,0
438,31,105929,17829,business,employed,single,0
439,29,137423,5522,medical,employed,single,1
440,68,122795,21151,education,employed,single,0
441,40,132223,36319,business,unemployed,single,0
442,32,66936,27543,education,unemployed,single,0
443,45,113286,38584,business,employed,married,0
444,51,28593,31473,education,unemployed,married,0
445,19,37358,8699,business,employed,divorced,0
446,49,102143,3629,education,unemployed,divorced,0
447,40,57381,41455,personal,self-employed,married,0
448,39,141465,11156,medical,unemployed,divorced,0
449,68,110347,18441,business,employed,divorced,0
450,42,48074,31716,medical,self-employed,single,0
451,39,40595,7834,business,employed,divorced,0
452,39,64194,19179,personal,self-employed,divorced,0
453,66,69377,27219,personal,self-employed,divorced,0
454,69,46853,38617,medical,unemployed,married,1
455,59,93719,16782,business,unemployed,married,0
456,23,40661,16827,education,self-employed,single,0
457,32,70493,10431,business,self-employed,divorced,0
458,60,138724,37918,education,self-employed,married,0
459,54,126705,45057,medical,employed,single,1
460,50,56495,10496,medical,unemployed,divorced,1
461,25,33703,24331,personal,employed,single,0
462,61,73080,40238,education,unemployed,single,0
463,61,50815,47025,business,employed,divorced,0
464,22,49565,24563,personal,unemployed,married,0
465,56,83321,4712,medical,self-employed,divorced,1
466,21,137491,29531,personal,self-employed,divorced,0
467,23,78453,46489,business,unemployed,divorced,0
468,62,108478,33664,business,self-employed,married,0
469,49,128522,46263,medical,self-employed,divorced,0
470,69,53161,13420,personal,employed,married,0
471,47,75991,6315,education,unemployed,single,0
472,64,134296,6381,education,self-employed,married,0
473,52,127339,10497,education,unemployed,single,0
474,57,29716,30040,business,employed,single,1
475,69,127099,33375,personal,unemployed,divorced,0
476,33,53349,14494,education,employed,married,0
477,30,67098,32752,personal,employed,single,0
478,67,128435,26357,medical,employed,single,0
479,59,20132,17950,education,self-employed,married,1
480,47,71990,16752,personal,employed,married,0
481,36,133288,38390,business,unemployed,single,0
482,34,88921,5132,medical,unemployed,single,0
483,36,56538,42598,medical,self-employed,married,0
484,45,120572,29276,medical,self-employed,married,0
485,43,119279,40763,medical,employed,single,0
486,54,125909,21551,business,employed,divorced,0
487,43,27213,27975,business,employed,married,0
488,40,144693,3670,education,self-employed,single,0
489,26,64223,10364,business,self-employed,single,0
490,29,111655,27296,business,unemployed,divorced,0
491,18,88371,25680,medical,employed,married,0
492,18,88274,19066,business,employed,single,0
493,64,127853,29892,medical,unemployed,divorced,0
494,51,24134,11041,personal,unemployed,married,0
495,49,111428,10054,personal,unemployed,divorced,0
496,65,59601,12637,personal,unemployed,single,0
497,42,93889,11757,personal,employed,divorced,0
498,57,35690,42258,personal,self-employed,single,0
499,62,21909,28484,personal,employed,single,1
500,18,111239,13329,personal,unemployed,divorced,0
501,33,100032,34538,medical,self-employed,divorced,0
502,56,32062,28115,medical,employed,single,0
503,22,95386,27038,medical,unemployed,divorced,0
504,39,113237,37622,medical,self-employed,married,0
505,46,54731,36886,business,self-employed,married,0
506,20,25153,10901,business,self-employed,divorced,0
507,29,30481,18374,education,employed,divorced,0
508,43,119270,47290,business,unemployed,married,0
509,33,86425,33806,medical,employed,single,1
510,68,83600,18659,medical,employed,single,0
511,54,104981,49770,personal,employed,married,1
512,39,91997,24453,personal,self-employed,single,1
513,46,124470,31498,education,unemployed,divorced,0
514,31,48205,5857,business,employed,divorced,1
515,45,108887,17312,medical,unemployed,married,0
516,22,101542,2436,business,self-employed,married,1
517,64,64149,28569,education,employed,married,0
518,66,69112,25949,personal,unemployed,married,0
519,47,30940,8693,medical,self-employed,single,0
520,63,79010,46986,personal,employed,single,0
521,69,96794,38019,medical,employed,single,0
522,22,44485,10305,personal,unemployed,divorced,0
523,29,109299,33646,personal,unemployed,divorced,1
524,33,144321,28302,education,employed,married,0
525,43,125584,11590,business,employed,married,0
526,43,21067,41430,personal,self-employed,single,0
527,65,40607,4123,medical,self-employed,single,0
528,38,129419,5158,business,employed,single,0
529,56,81597,9700,business,unemployed,married,0
530,53,146736,11531,personal,unemployed,single,0
531,50,94554,28738,personal,employed,married,0
532,47,68521,10879,personal,self-employed,married,0
533,54,132482,6543,business,employed,divorced,0
534,40,35187,47748,education,unemployed,divorced,1
535,27,122911,48924,personal,employed,married,1
536,22,23985,43348,business,employed,single,0
537,53,63052,19581,business,self-employed,married,0
538,51,39563,37679,medical,unemployed,married,0
539,69,67322,14582,personal,unemployed,married,0
540,48,122842,44888,education,employed,married,1
541,27,81245,31276,medical,unemployed,divorced,0
542,36,71514,39003,personal,unemployed,divorced,0
543,49,38608,5799,medical,unemployed,married,0
544,18,124675,26091,personal,unemployed,divorced,1
545,22,87262,29234,medical,self-employed,divorced,0
546,62,112118,47993,education,self-employed,single,0
547,21,91327,25605,medical,self-employed,divorced,0
548,33,77225,37534,medical,self-employed,divorced,0
549,41,93994,32668,medical,self-employed,married,0
550,33,141701,5111,personal,unemployed,divorced,0
551,19,37221,25686,personal,employed,divorced,0
552,66,68506,8015,education,employed,divorced,1
553,45,40968,7856,medical,self-employed,married,1
554,49,147677,17490,business,unemployed,married,0
555,44,102606,36194,medical,self-employed,divorced,1
556,37,47937,15497,business,employed,married,1
557,41,82435,24194,business,unemployed,married,0
558,29,69508,45104,medical,unemployed,single,0
559,67,146695,6316,business,unemployed,divorced,1
560,52,61831,39130,business,employed,single,0
561,50,62933,5693,medical,employed,divorced,0
562,50,67307,42758,personal,self-employed,divorced,0
563,68,68340,30954,medical,self-employed,single,0
564,60,122951,48901,education,employed,single,0
565,54,128306,22652,business,self-employed,divorced,0
566,29,106338,15178,education,employed,single,0
567,20,63601,44397,business,unemployed,single,0
568,18,95956,15751,personal,self-employed,married,0
569,50,92178,1425,business,employed,divorced,0
570,57,105311,4044,medical,employed,married,1
571,27,48754,12480,business,employed,divorced,1
572,60,63310,44874,education,self-employed,married,0
573,61,89893,39997,medical,self-employed,divorced,0
574,46,106799,2239,education,unemployed,married,1
575,30,140007,7566,personal,self-employed,divorced,0
576,29,68367,20775,education,self-employed,married,0
577,48,33201,37981,education,self-employed,single,1
578,63,22739,4006,education,unemployed,divorced,0
579,19,33231,8025,medical,unemployed,single,0
580,68,145610,20423,personal,unemployed,married,1
581,67,127814,40326,personal,self-employed,divorced,1
582,52,62495,26174,personal,employed,married,0
583,40,41168,27663,education,self-employed,married,1
584,34,52624,34952,medical,unemployed,single,0
585,43,30635,28326,medical,self-employed,divorced,0
586,25,29964,32139,medical,self-employed,married,1
587,46,47785,48198,education,employed,single,0
588,43,115046,9102,personal,employed,single,0
589,27,102797,47637,education,self-employed,single,0
590,43,104790,8116,medical,unemployed,single,0
591,51,96928,13937,education,self-employed,married,0
592,68,32336,31161,business,self-employed,married,1
593,58,97475,5383,personal,self-employed,married,0
594,24,47412,21320,personal,unemployed,divorced,0
595,21,102212,5507,medical,unemployed,divorced,0
596,67,95379,15735,education,unemployed,single,0
597,62,65591,30713,medical,unemployed,married,0
598,28,81750,17519,education,unemployed,single,0
599,46,110648,3025,business,self-employed,married,0
600,53,116134,20919,personal,unemployed,divorced,0
601,42,55454,38622,personal,self-employed,single,1
602,38,118537,39135,education,self-employed,married,0
603,53,82672,36658,personal,self-employed,married,0
604,27,47228,20141,education,employed,married,0
605,54,34429,30696,medical,unemployed,single,0
606,26,104294,4773,business,unemployed,divorced,0
607,41,87808,25956,education,self-employed,married,0
608,52,102886,16819,business,employed,single,0
609,66,135577,2528,medical,unemployed,married,0
610,52,73015,21955,medical,self-employed,single,0
611,65,108074,45588,medical,employed,divorced,0
612,53,88936,6049,education,self-employed,married,0
613,35,100907,34616,business,employed,single,1
614,66,77378,21511,business,self-employed,married,1
615,56,57310,11119,personal,unemployed,single,0
616,49,121827,11357,education,self-employed,divorced,0
617,41,103683,17167,personal,self-employed,divorced,0
618,40,88827,46246,personal,employed,single,0
619,49,55256,23253,education,employed,divorced,0
620,54,96428,35889,personal,unemployed,married,0
621,29,119862,46678,personal,self-employed,divorced,0
622,66,122994,30798,personal,employed,married,0
623,30,58889,5681,medical,unemployed,divorced,0
624,40,71428,15755,education,unemployed,divorced,0
625,42,130502,1472,medical,employed,married,0
626,52,57207,33881,personal,employed,divorced,0
627,58,70255,14690,personal,self-employed,married,0
628,47,125824,26912,medical,unemployed,married,0
629,34,111531,7473,personal,employed,divorced,0
630,66,25409,42298,education,unemployed,divorced,0
631,37,62438,19669,business,self-employed,married,0
632,65,130410,34964,medical,employed,single,0
633,42,130238,17462,business,unemployed,divorced,0
634,39,115359,21943,business,employed,divorced,0
635,30,27869,39785,business,self-employed,single,1
636,36,121260,36420,medical,self-employed,single,1
637,66,76862,11832,personal,self-employed,divorced,0
638,53,107937,6385,education,self-employed,divorced,0
639,29,45958,31362,personal,employed,divorced,0
640,58,96302,15708,education,employed,single,1
641,36,39768,24438,personal,unemployed,divorced,0
642,29,116330,18211,business,unemployed,single,1
643,26,46145,15571,business,employed,single,0
644,24,95622,22307,education,employed,married,0
645,45,128739,12002,medical,unemployed,single,0
646,31,46442,37153,personal,employed,married,1
647,48,101948,23440,business,self-employed,single,0
